Year,Total Waste
1990,129889000.0
1991,134870000.0
1992,143570000.0005
1993,149685000.0005
1994,164447000.06
1995,170918000.01999998
1996,183439000.0
1997,197228000.0
1998,206397000.0
1999,222144000.0
2000,234007000.0
2001,239907000.0
2002,255480000.0
2003,266324000.0
2004,283508000.001
2005,291787000.0
2006,310467000.0
2007,328116000.0
2008,312909000.0
2009,321170002.0
2010,348880999.9
2011,363269000.0
2012,377302000.0
2013,393734000.0
2014,401032004.0
2015,412752004.0
2016,419969989.97
2017,432185000.0
2018,446197996.0
2019,459746994.0
